Symbol|Issue_Name|Primary_Listing_Mkt
000519|Hunan Jiangnan Red Arrow Company Ltd|SHE
000520|Chang Jiang Shipping Group Phoenix Company|SHE
000521|Hefei Meiling Company., Ltd|SHE
000522|Guangzhou Baiyunshan Pharmaceutical Company.,Ltd|SHE
000523|Lonkey Industrial Company., Ltd., Guangzhou|SHE
000524|Guangzhou Dong Fang Hotel Company., Ltd|SHE
000525|Nanjing Red Sun Company Ltd|SHE
000526|Xiamen Insight Investment Company Ltd|SHE
000527|Gd Midea Holding Company.,Ltd|SHE
000528|Guangxi Liugong Machinery Company., Ltd|SHE
000529|Guangdong Guanghong Holdings Company Ltd|SHE
000530|Dalian Refrigeration Company. , Ltd|SHE
000531|Guangzhou Hengyun Enterprises Holding|SHE
000532|Leaguer Stock Company., Ltd|SHE
000533|Guangdong Macro Company Ltd|SHE
000534|Wedge Industrial Company Ltd|SHE
000536|CPT Technology (Group) Company Ltd|SHE
000537|Tianjin Guangyu Development Company., Ltd|SHE
000538|Yunnan Baiyao Group Company Ltd|SHE
000539|Guangdong Electric Power Development Company|SHE
000540|Zhongtian Financial Group Company Ltd|SHE
000541|Foshan Electrical and Lighting Company., Ltd|SHE
000543|Anhui Wenergy Company Ltd|SHE
000544|Central Plains Environment Protection Company Ltd|SHE
000545|Jilin Gpro Titanium Industry CoLTD|SHE
000546|Jilin Guanghua Holding Group Company.,Ltd|SHE
000547|Chinascholars Group Company.,Ltd|SHE
000548|Hunan Investment Group Company., Ltd|SHE
000550|Jiangling Motors Corporation, Ltd|SHE
000551|CREATE TECHNOLOGY & SCIENCE CO., LTD.|SHE
000552|Gansu Jngyn Coal Inds & Elctr Pwr Company Ltd|SHE
000553|Hubei Sanonda Company., Ltd|SHE
000554|Sinopec Shandong Taishan Petrolum Company Ltd|SHE
000555|Shenzhen Techo Telcom., Ltd|SHE
000557|Ningxia Western Venture Industrial Company Ltd|SHE
000558|Lander Real Estate Company., Ltd|SHE
000559|Wanxiang Qianchao Company., Ltd|SHE
000560|Kunming Sinobright (Group) Company.,Ltd|SHE
000561|Shaanxi Fenghuo Electronics Company Ltd|SHE
000562|Hong Yuan Securities Company.,Ltd|SHE
000563|Shaanxi International Trust Company.,Ltd|SHE
000564|XI'AN MINSHENG GROUP CO., LTD.|SHE
000565|Chongqing Sanxia Paints Company., Ltd|SHE
000566|Hainan Haiyao Company., Ltd|SHE
000567|Hainan Haide Industry Company., Ltd|SHE
000568|Lu Zhou Lao Jiao Company.,Ltd|SHE
000569|Pan Gang Group Sichuan Changcheng Special Steel Company Ltd|SHE
000570|Changchai Company., Ltd|SHE
000571|Sundiro Holding Company., Ltd|SHE
000572|Haima Automobile Group Company Ltd|SHE
000573|DongGuan Winnerway Industrial Zone Ltd|SHE
000576|The Jiangmen Sugarcane Chem. Factory|SHE
000578|Qinghai Salt Lake Industry Group Company.,Ltd|SHE
000581|Weifu High-Technology Group Company Ltd|SHE
000582|Beihai Port Company., Ltd|SHE
000584|Sichuan Youli Investment Holding Company Ltd|SHE
000585|Northeast Electric Development Company Ltd|SHE
000586|Sichuan Huiyuan Optical Communications|SHE
000587|Goldleaf Jewelry Company Ltd|SHE
000589|Gui Zhou Tyre Company., Ltd|SHE
000590|Unisplendour Guhan Group Corporation Ltd|SHE
000591|Chongqing Tong Jun Ge Company.,Ltd|SHE
000592|Fujian CFC Industries Company.,Ltd|SHE
000593|Sichuan Datong Gas Development Company., Ltd|SHE
000594|Tianjin Good Hand Railway Holding Company.,Ltd|SHE
000595|Xibei Bearing Company.,Ltd|SHE
000596|Anhui Gujing Distillery Company Ltd|SHE
000597|Northeast Pharmaceutical Group Company,Ltd|SHE
000598|Chengdu Xingrong Investment Company Ltd|SHE
000599|Qingdao Doublestar Company., Ltd|SHE
000600|Jointo Energy Investment Company.,Ltd. Hebei|SHE
000601|Guangdong Shaoneng Group Company., Ltd|SHE
000602|Guangdong Golden Horse Tourism Group Stock Company.,Ltd|SHE
000603|Shengda Mining Company Ltd|SHE
000605|Sihuan Pharmaceutical Company Ltd|SHE
000606|Qinghai Gelatin Company Ltd|SHE
000607|Huazhi Holding (Zhejiang) Company Ltd|SHE
000608|Yang Guang Company Ltd|SHE
000609|Beijing Mainstreets Invst. Group Corp|SHE
000610|Xi'an Tourism Company Ltd|SHE
000611|Inner Mongolia Sihai Technology Company Ltd|SHE
000612|JiaoZuo WanFang Alum. Manufac. Company.,Ltd|SHE
000613|Hainan Dadonghai Tourism Centre Company., Ltd|SHE
000615|Hubei Golden Ring Company., Ltd|SHE
000616|Yeland Group Company Ltd|SHE
000617|Jinan Diesel Engine Company., Ltd|SHE
000619|Wuhu Conch Profiles and Science Company., Ltd|SHE
000620|Macrolink Real Estate Company Ltd|SHE
000622|Hengli Industrial Development Group Company Ltd|SHE
000623|Jilin Aodong Medicine Industry Group Company|SHE
000625|Chongqing Changan Automobile Company Ltd|SHE
000626|Lianyungang Ideal Group Company., Ltd|SHE
000627|Hubei Biocause Pharmaceutical Company.,Ltd|SHE
000628|Chengdu Hi-Tech Development Company. Ltd|SHE
000629|Pangang Group Vndm Tm & Res Company Ltd|SHE
000630|Tongling Nonferrous Metals Group Company Ltd|SHE
000631|Shunfa Hengye Corp|SHE
000632|Fujian Sanmu Group Company., Ltd|SHE
000633|Shenyang Hejin Holding Company., Ltd|SHE
000635|Ningxia Younglight Chemicals Company Ltd|SHE
000636|Guangdong Fenghua Adv. Tech. (Hldg) Company|SHE
000637|Maoming Petro-Chemical Shihua Company., Ltd|SHE
000638|Vanfund Urban Investment&Dev Company Ltd|SHE
000639|Xiwang Foodstuffs Company Ltd|SHE
000650|Renhe Pharmacy Company., Ltd|SHE
000651|Gree Electric Appliances Inc of Zhuhai|SHE
000652|Tianjin Ecnomc-technlgcl Dev Area Company Ltd|SHE
000655|Shandong Jinling Mining Company., Ltd|SHE
000656|Jinke Property Group Company Ltd|SHE
000657|China Tungsten and Hightech Mtrls Company Ltd|SHE
000659|Zhuhai Zhongfu Enterprise Company Ltd|SHE
000661|Changchun High & New Tech Industry Inc|SHE
000662|Softto Company., Ltd|SHE
000663|Fujian Yongan Forestry (Grp) Joint-Stock|SHE
000665|Hubei Radio and Tlvsn Infrn Ntwrk Company Ltd|SHE
000666|Jingwei Textile Machinery Company Ltd|SHE
000667|Milord Real Estate Development Gp Company Ltd|SHE
000668|RONGFENG HOLDING GROUP CO.,LTD.|SHE
000669|PetroChina Jinhong Energy Invstmt Company Ltd|SHE
000670|Sunyoung Industry Development Company Ltd|SHE
000671|Yango Group Company Ltd|SHE
000672|Gansu Shangfeng Cement Company Ltd|SHE
000673|Contemporary Eastern Investment Company Ltd|SHE
000676|Henan Star Hi-Tech Company., Ltd|SHE
000677|CHTC Helon Company Ltd|SHE
000678|Xiangyang Automobile Bearing Company Ltd|SHE
000679|Dalian Friendship (Group) Company., Ltd|SHE
000680|Shantui Construction Machinery Company., Ltd|SHE
000681|Far East Industrial Stock Company., Ltd|SHE
000682|Dongfang Electronics Company Ltd|SHE
000683|Inner Mongolia Yuan Xing Energy Company Ltd|SHE
000685|Zhongshan Public Utilities Group Company Ltd|SHE
000686|Northeast Securities Company Ltd|SHE
000687|Swan Fiber Company Ltd|SHE
000688|Jianxin Mining Company Ltd|SHE
000690|Guangdong Baolihua New Energy Stock Company.,|SHE
000691|Hainan Yatai Industrial Develpmnt Company Ltd|SHE
000692|Shenyang Huitian Thermal Power Company., Ltd|SHE
000693|Chengdu Huaze Cobalt and Nickel Material Company Ltd|SHE
000695|Tianjin Binhai Energy & Devel. Company., Ltd|SHE
000697|Shaanxi Ligeance Mineral Res Company Ltd|SHE
000698|Shenyang Chemical Industry Company., Ltd|SHE
000700|Jiangnan Mould & Plastic Tech Company Ltd|SHE
000701|Xiamen Xinde Company Ltd|SHE
000702|Hunan Zhenghong Science & Technology|SHE
000703|Hengyi Petrochemical Company Ltd|SHE
000705|Zhejiang Ahenyuan Company Ltd|SHE
000707|Hubei Shuanghuan Science &Tech. Stock Company|SHE
000708|Daye Special Steel Company., Ltd|SHE
000709|Hebei Iron And Steel Company Ltd|SHE
000710|Chengdu Tianxing Instrument & Meter Company|SHE
000711|Heilongjiang Tianlun Real Estate Dev Company|SHE
000712|Guangdong Golden Dragon Development Inc|SHE
000713|Hefei Fengle Seed Company.,Ltd|SHE
000715|Citic Devel.-Shenyang Commercial Bldg Company|SHE
000716|Nanfang Black Sesame Group Company Ltd|SHE
000717|SGIS Songshan Company., Ltd|SHE
000718|Suning Universal Company., Ltd|SHE
000719|Central China Land Media Company Ltd|SHE
000720|Shandong Xinneng Taishn Pwr Gnrtn Company Ltd|SHE
000721|Xi'an Catering Company., Ltd|SHE
000722|Hunan Fazhan Industrial Company Ltd|SHE
000723|Shanxi Meijin Energy Company., Ltd|SHE
000725|BOE Technology Group Company. Ltd|SHE
000726|Lu Thai Textile Company., Ltd|SHE
000727|Nanjing Huadong Elect.Info & Tech Company Ltd|SHE
000728|Guoyuan Securities Company Ltd|SHE
000729|Beijing Yanjing Brewery Company., Ltd|SHE
000731|Sichuan Meifeng Chemical Ind. Company., Ltd|SHE
000732|Thaihot Group Company Ltd|SHE
000733|China Zhenhua (Group) Science & Tech.|SHE
000735|Luoniushan Company Ltd|SHE
000736|Cred-Chongshi Real Estate Corp Ltd|SHE
000737|Nafine Chemical Industry Group Company.,Ltd|SHE
000738|AVIC Aero Engine Controls Company Ltd|SHE
000739|Apeloa Pharmaceutical Company Ltd|SHE
000748|Greatwall Information Industry Company., Ltd|SHE
000750|Sealand Securities Company Ltd|SHE
000751|Huludao Zinc Industry Company., Ltd|SHE
000752|Tibet Galaxy Science & Tech Dvlp Company Ltd|SHE
000753|Fujian Zhangzhou Development Company., Ltd|SHE
000755|Shanxi Sanwei Group Company.,Ltd|SHE
000756|Shandong Xinhua Pharmaceutical Company|SHE
000757|Sichuan Haowu Electromechanical Company Ltd|SHE
000758|China Nonferrous Metal Ind. FE & Const.|SHE
000759|Zhongbai Holdings Group Company Ltd|SHE
000760|Hubei Bothwin Investment Company.,Ltd|SHE
000761|Bengang Steel Plates Company., Ltd|SHE
000762|Tibet Mineral Development Company., Ltd|SHE
000766|Tonghua Golden-Horse Pharm. Industry Company|SHE
000767|Shanxi Zhangze Electric Power Company Ltd|SHE
000768|AVIC Aircraft Company Ltd|SHE
000776|GF Securities Company Ltd|SHE
000777|SUFA Technology Industry Company., Ltd., CNNC|SHE
000778|Xinxing Ductile Iron Pipes Company., Ltd|SHE
000779|Lanzhou Sanmao Industrial Company., Ltd|SHE
000780|Inner Mongolia PingZhuang Eng. Resources|SHE
000782|Guangdong Xinhui Meida Nylon Company., Ltd|SHE
000783|Changjiang Securities Company Ltd|SHE
000785|Wuhan Zhongnan Commercial Group Company., Ltd|SHE
000786|Beijing New Building Materials PLC|SHE
000787|Powerise Information Technology Company.,Ltd|SHE
000788|PKU Intl Healthcare Gp SW Pharm Company Ltd|SHE
000789|Jiangxi Wannianqing Cement Company., Ltd|SHE
000790|Chengdu Huasun Group Inc Ltd|SHE
000791|GEPIC Energy Development Company Ltd|SHE
000792|Qinghai Salt Lake Potash Company Ltd|SHE
000793|Huawen Media Investment Corp|SHE
000795|Taiyuan Twin Tower Aluminium Oxide Company|SHE
000796|E-Food Group Company Ltd|SHE
000797|China Wuyi Company., Ltd|SHE
000798|CNFC Overseas Fishery Company., Ltd|SHE
000799|Jiugui Liquor Company., Ltd|SHE
000800|Faw Car Company., Ltd|SHE
000801|Sichuan Jiuzhou Electronic Company Ltd|SHE
